timestep Fx0 Fy0 Fz0 Fx1 Fy1 Fz1
126000 27.35887830 -0.01881613 -0.27816850 -27.41186802 -0.81966249 -0.40902716
126400 28.32124076 3.99460296 2.26891689 -25.82745803 -8.63182275 -4.89069255
126800 32.05631982 6.86390042 2.44146960 -11.72270482 -21.19418864 -8.40612953
127200 27.51197043 0.07729518 -0.08150533 -30.57030645 1.61930312 -3.09188042
127600 27.76157065 -0.28765025 -0.05234970 -26.42900227 -1.40373509 0.09135862
128000 27.39413756 1.83225395 0.85188272 -27.73192480 0.00000000 0.00000000
128400 24.75355812 2.28896796 1.67527435 -27.93228072 -0.09822357 0.15641704
128800 26.32429587 -1.61591091 -3.30363712 -28.89437477 -3.37043630 -4.60354861
129200 27.25525597 -0.07507600 -0.01202057 -31.04541997 -3.05135985 2.95454074
129600 18.89444351 -0.97727580 2.21281036 -26.34923424 0.30965597 -1.13906974
130000 29.53965707 -9.84311185 0.14580549 -15.65642799 2.61259274 9.09213530
130400 21.52983595 -6.75313989 4.57195870 -26.97641992 -0.08995500 -6.88452324
130800 24.42395755 -7.14482975 -2.52716013 -23.56817129 3.45437456 3.09222927
131200 29.27852167 2.68127890 1.78722824 -28.24609208 -6.89401640 4.13448489
131600 29.86444646 -0.85417620 4.27208908 -28.35180180 0.93400618 -1.31608948
132000 19.65870957 -10.24465665 3.75381966 -29.97685463 -2.99199934 0.86486477
